Common_Name,Species,Phylum,Class,Order,Family,earliest_puberty_age_F_(months),Female_Body_Mass_(g),oviduct_lenght_(mm),Cycle_Length_(days),Length_receptvivity_(days),reproductive_senescence_F_(months),gestation_length_(days),Combined_ovary_weight_(g),ovary_%BW,folliculogenesis _length_(days),Age_eyes_open_(days),Lactation_length_(weeks)
Gray Seal,Halichoerus grypus,Chordata,Mammalia,Carnivora,Phocidae,36.00,245000.00,,NA,NA,,334.50,,,,0.00,2.50
Vaquita,Phocoena sinus,Chordata,Mammalia,Artiodactyla,Phocoenidae,36.00,46500.00,,NA,NA,,334.50,,,,0.00,41.00
Gorilla,Gorilla gorilla,Chordata,Mammalia,Primates,Pongidae,96.00,71500.00,,31.00,3.50,402.00,267.00,,,,0.00,182.00
Chimpanzee,Pan troglodytes,Chordata,Mammalia,Primates,Pongidae,,45800.00,,36.00,10.25,456.00,240.00,,,,0.00,260.00
White rhinoceros,Ceratotherium simum,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,32.00,1900000.00,,35.40,1.00,498.00,540.00,,,,0.00,62.00
Greater Horseshoe Bat,Rhinolophus ferrumequinum,Chordata,Mammalia,Chiroptera,Rhinolophidae,4.00,23.00,,NA,NA,,91.00,,,,7.00,8.00
Blind Mole Rat,Spalax ehrenbergi,Chordata,Mammalia,Rodentia,Spalacidae,4.00,50.00,,,64.00,,34.00,,,,,3.00
Pig,Sus Scrofa domesticus,Chordata,Mammalia,Artiodactyla,Suidae,20.00,51700.00,210.00,21.00,2.10,,114.00,3.60,0.01,,0.00,7.00
Wild boar,Sus scrofa scrofa,Chordata,Mammalia,Artiodactyla,Suidae,10.00,70000.00,,21.00,2.50,,115.00,,,,0.00,10.00
Warthog,Phacochoerus africanus,Chordata,Mammalia,Artiodactyla,Suidae,18.00,105000.00,,35.00,3.00,,167.50,,,,0.00,24.00
Javan pig,Sus verrucosus,Chordata,Mammalia,Artiodactyla,Suidae,9.13,44000.00,,NA,NA,,122.00,,,,0.00,14.00
Short-beaked echidna,Tachyglossus aculeatus,Chordata,Mammalia,Monotremata,Tachyglossidae,36.00,4500.00,,20.50,NA,,23.00,,,,,27.50
Central American tapir,Tapirus bairdii,Chordata,Mammalia,Perissodactyla,Tapiridae,14.00,300000.00,72.25,30.00,1.80,,400.00,,,,0.00,17.00
Lowland Tapir,Tapirus terrestris,Chordata,Mammalia,Perissodactyla,Tapiridae,,210000.00,,31.00,NA,,395.00,,,,0.00,28.00
Brown bear,Ursus arctos,Chordata,Mammalia,Carnivora,Ursidae,36.00,157500.00,,NA,25.00,348.00,225.00,,,,42.00,156.00
Polar bear,Ursus maritimus,Chordata,Mammalia,Carnivora,Ursidae,42.00,320000.00,,NA,NA,,230.00,,,,30.00,130.00
Sloth bear,Melursus ursinus,Chordata,Mammalia,Carnivora,Ursidae,36.50,95000.00,,NA,NA,,197.00,,,,24.00,52.00
Giant Panda,"Ailuropoda melanoleuca
",Chordata,Mammalia,Carnivora,Ursidae,66.00,96800.00,,10.50,2.50,,127.50,,,,56.00,39.00
